,商品全名,用户评论时间,用户评论内容
150,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 19:25:52,不错，全新，暂时没问题的！
151,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 11:11:47,颜控必备爆品，好用还好看
152,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 10:40:30,性价比比较高，商品很好
153,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 19:08:59,快递很给力，小哥哥很帅
154,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 22:02:21,很好，很喜欢
155,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 07:44:38,商品包装好，五星
156,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 20:00:26,好用啊。大爱。
157,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-03 08:53:12,还在熟悉使用过程中，键盘声音大。
158,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 20:09:14,有一点点瑕疵  而且电池循环有三次 但我没有退货的习惯 勉强还能接受吧
159,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-23 09:12:46,不错，很喜欢
160,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-22 08:55:16,太棒了，惊艳
161,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 09:26:44,很好！喜欢。
162,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-25 10:15:26,"第一个，电脑给我邮寄的是坏的，电脑中间出现白条且左右文字大小不一，申请了退换
第二个，买电脑的时候有送电脑包，退换要求把电脑包退回去了，但重新邮寄电脑后至今没有邮寄电脑包
第三个，我买的时候8999，没过一会降到8868，我打电话申请维护价格，说我打电话打晚了后来按他们当前价格9288不能调整。"
163,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 19:17:43,直接好评！
164,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 14:47:27,电脑已经收到了 意外的是比我的air小了一圈 应该还要重些  原以为是一样大的 其次查看了电池循环三次 不知道正常与否 最后就是键盘 键程比air要短很多 很不习惯 有一种干巴巴的硬 没有手感 并且打字的时候容易误触到键盘上面bar 说真的 体验感觉还没有刚开始用air的感觉好
165,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-29 11:13:06,简直就是垃圾，新买的机器都没有用，6月4号买的，忙于装修，一直没用，今天用的时候，居然是出现屏幕问题，京东已过时间为由，让我自己去鉴定，我用都没用过鉴定什么？？！！！！我是苹果厂家的质检部门吗？？坚决投诉维权！！！坚持到底，市长热线，12315我要打爆，一直到解决为止！
166,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-12 22:52:35,这么说吧，发烫太厉害，显示电池循环两次，充电放腿上用烫腿，估计最低45度，我6，12激活的，显示保修期到19年7.1号，这个正常么？送货的不用马老板或者微信收款，非让我刷卡，我说我接个卡等我五分钟搞定，他抱起来就走非说明天再送，我叫人马上给代付才行，等一分钟都不等，说好的京尊达呢？包装袋破损，外层纸箱破损有一个洞。第一次设置了密码后，说什么也进不去了，我不可能想错因为我设置的1234。最后重置密码解决。整体感受机器没有15款的好用特别是键盘，太难受了，送货的太不专业，请尊重自己的职业。
167,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-27 19:40:16,"1.昨天买的。今天就降价199。叫我情何以堪？
2.数据线上有很多白色粉尘，用手一抹，像是白灰。而且数据线极不光滑，可能是因为那个灰。像是未经包装放了很久。
3. 至于电脑质量无从评价。但是原有电量几乎为零。至于上传图片，嫌麻烦，有差别？"
168,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-15 12:53:08,下单的时候说是京尊达送货，结果来的还是普通快递，而且包装盒还有破损，虽然机器本身看上去没问题，但是一直担心暴力物流会导致机器内部的后续问题。跟客服反应，反正京东客服只会说不好意思，对不起这类没有意义的话。
169,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 11:20:14,"摘要:不要以为序列号没问题电脑就是新的，京东用返修官换机充当全新机买
电脑是和朋友618活动一起买的，然后两个人的电脑有明显的使用差距。他的比我各方面都要好一些。当时也没多在意，毕竟一些小差异还是能接受的。然后前两天登录chinanet的时候，无意中点到了WiFi的高级设置里，发现里面记录了一堆我没用过的WiFi，甚至还有好几个带有地名的WiFi，什么德化三中食堂，德化信用社等等，本人从没有去过德化这个地方（给苹果技术顾问打过电话问过了，高级设置那里显示的WiFi确实是这电脑以前连过的WiFi）。然后给售后打电话，打了好久，总体来说京东是这个意思:&ldquo;我们这电脑就是正规渠道拿的，货源就是没问题。&rdquo;这电脑的序列号确实没问题，但是苹果技术顾问告诉我，序列号是和主板连在一起的，也就是说，我这电脑很有可能是返修的电脑，内部有零件是二手的，和官换机差不多。所以说提醒一下各位，不要以为序列号没问题，电脑就是全新的了，你们很有可能手上用的也是和我一样的，被返修过的机子。
下面是那些多出来的WiFi的截图，第一张差不多是我本人确实用过的WiFi，后面八张全是我没见过的WiFi！！
血的教训提醒大家！！"
170,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-19 21:24:28,有瑕疵，漆面有问题，看链接写着原厂延保，实质也不是，误导人，而且价格只比平时优惠了两三百，活动没有力度
171,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 00:21:56,用了几天wifi就总是连不上了很无奈
172,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-20 15:26:13,充电点流感非常明显，外盖上有划痕，第一次打开电池循环次数4，是不是未开封的新机仁者见仁吧，京东自营的名头不知道还能维持多久
173,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-08 14:58:10,收到不能开机，因为一点电都没有，出厂应该都有电的，不知是怎么回事？可能是电脑库存太久了，还是另有隐情？以后要买三思啊。
174,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-22 22:16:00,这是台2018年生产的电脑，电池却是2017年12月生产，而且刚到手就电池循环4次。各位预算不紧张的话还是去直营店买吧。
175,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-22 20:43:43,是全新的，未激活的，序列号保修也没问题。下单没注意，默认好像是电子发票，纸质发票都不开的，问客服也只是机器人回答
176,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 17:55:21,很不错！
177,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-26 21:16:42,休眠后再启动有一秒钟的雪花屏。上网查说是系统问题。一万多的电脑竟然有这种bug，真是不能理解
178,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 16:16:25,才买几天，官网就出2018教育优惠套装，白白没了2k的耳机，不开心不开心，还不能退货！
179,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 23:31:49,还行吧
180,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-20 08:54:43,没有赠品，没有赠品，没有赠品，618中午下单，赠品没收到，很伤心
181,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 15:47:42,充电器是坏的，无法给笔记本电脑充电。
182,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 22:44:26,完美！
183,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-08 11:06:53,说句实在话 Mac贵就贵在系统上了 运行真的很差 包括系统支持的东西太有局限性 如果不是从事创作方面的话真的不建议购买 我这种型号连做个音乐都很容易发烫 如果是玩游戏的话更不建议购买
184,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-21 21:41:47,联系卖家发银色的 联系三次都没回复
185,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-08 05:47:11,打开电脑A面的时候会出现雪花屏
186,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-22 13:26:22,刚买10天出现花屏现象
187,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-22 13:04:19,用着很好
188,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 11:43:48,用了10几天，刚开始两天还行，后来升级了系统，续航真的和吹的10小时有很大差异，浏览网页蹭蹭掉，买的就是续航和运行速度，这也太扯了吧？！客服也是一问三不知。。
189,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-25 13:29:00,商品出现质量问题后，通过苹果官方检测后证实质量问题，通过京东申请换货，整个换货过程有一个多月，京东售后客服一直拖延，从开始坚决不给换货，到后来说没有送检，再到后来的回复没有质量问题，回复不能换货，最后通过投诉才同意换货。这一个月下来，对京东的售后彻底失望。对有想法的买家的忠告是再申请售后换新之前一定要自己先去官方检测，不然京东有各种借口不进行换新。
190,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-24 16:35:05,不错
191,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-10 21:17:38,服务态度差，刚收到就激活一会功夫电脑热的不行，联系了客服说不给退，一万多块钱的东西有点强买强卖的意思，说给维修具体时间不知道，那不耽误使用了吗，客服说那也没办法就是不给退，以前京东感觉挺高大上的，现在电子产品做成这样，真是砸招牌，你保证你的东西就是好吗，凭什么不能退换，真是失望透顶，说打开就不能换，不打开怎么知道东西好坏，简直了
192,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-14 23:51:04,"1、touchbar没点软用
2、整体感觉不如上一代经典，好用"
193,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-28 15:30:08,产品是好产品，但京东客服不咋滴，下单时价格和收到货价格不一样，账单都出来了，收到货了账单的钱居然又多加钱了，和坑人没区别，这种操作第一次见，人工客户态度不敢恭维，态度调到不行，或许这就像别人说的，京东现在就是店大欺人，一辈子不长，但京东商城，这是我最后一次购买东西了，不会再有下次，
194,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 15:14:43,mac一定要去官网买，不然后果自负（如图）！仅用了一个月，突然就无法开机，资料全丢，严重怀疑是二手货！以后再也不在京东买贵重物品！
195,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-25 16:03:38,我作为京东钻石用户，金融信誉96.2.客服这么对我，凉透了简直，京东客服是一点问题解决不了，就知道往出推，问什么问题就一句话，您好下边给你个链接，让你自己操作，我说不会操作，客服说，您好还有什么能帮助您的，我只想说，你很有礼貌，但是没有实质上的用处，再见吧，
196,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-22 02:05:25,苹果官网都提供的无理由退货，京东为什么不支持。
197,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-06 00:38:49,618买的为活动优惠，这还没几天了就降价200！这么坑人！笔记本感觉速度也有点慢，还不如旧款，伤心了
198,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-28 18:02:08,9500~，刚买两天，用不习惯，完好。~联系~，
199,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-21 21:39:37,新机有细微的伤痕
200,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 11:01:46,才到手不到2天就512降到差不多的价了，找京东售后完全不帮消费者争取友益，投诉也没有用，要买的还是考虑好再下手。
201,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-23 01:37:34,还不错
202,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-22 18:00:51,电脑同样的散热性能很差，外壳一直出现触电，手被电击麻木了，我在想这就是描述中的产品吗？老板说叫我去检测一下，我拿钱没地方花，真的醉了&hellip;&hellip;一分钱一分货，这对等吗？为啥发货前就不仔细查看呢？请给我一个合理的解释，我真的不明白！
203,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 23:28:55,送人的
204,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-05 22:36:51,收到机器。我是用来开发的。配置不算低。电脑卡。没达到我的预期，真的是心情糟糕透了。刚买的立刻用，居然卡，不止一次
205,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-25 21:34:09,质量太差，用了一个月显示器花屏，返厂维修，只能修不能退，以后还是慎重在京东买贵东西。购物体验很不好！
206,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-29 21:23:43,收到货的第二天才注意到，仔细看充电器上是有许多划痕的，现在严重怀疑电脑和充电器一样是翻新的。
207,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-20 23:07:30,"电脑一来就有问题 问了苹果专卖店是bug
输入了密码 密码能解锁不能对账号
我也是无语了"
208,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-06-28 12:07:33,这个机器买的第二天就降了200垮。。。。。。。
209,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-23 09:58:43,开发票居然不写税号，你们京东都是些哈人呀？
210,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 10:54:22,买完就降价 垃圾的自营
211,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-23 01:48:56,满意
212,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-23 00:48:37,不错
213,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-19 11:06:45,这&hellip;虽然买的不是自己用的，但是看上去很好，mac还是不错的，这一款价格也还是可以
214,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 07:47:41,平时很少给评价，实在没忍住给一个差评，电脑买了20多天，发现问题申请京东售后拿去检修，10多天了一直没有任何消息，也没有人给我备用机，就这个速度，还不如我自己拿去苹果售后，这期间我也不知道我的电脑怎么样了，对京东真是要粉转路了，我一星都不想给，拿走电脑这么久对用户影响太大，反正现在生气中，要是一直没有消息还不如拿回来，我自己苹果售后
215,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-21 20:02:46,差评，买了没几天，就发现屏幕出现屏保时有大的白色圆圈，也不给退换了，直接告诉你去修吧，以后大的电子产品还是别来京东买了，各位警戒。
216,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-03 14:19:43,购买的时候有无理由退货。屏幕太小，想换成15寸的，就是不给换，差评。
217,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-18 07:35:52,刚买就降价，差评。
218,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-14 22:23:47,很有质感，爱不释手！ 还好没买其他品牌 送的套也很有质感，发票是电子发票，质量目前没问题，用了不到一个月
219,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-14 21:19:01,??京东叮咚(DingDong)mini2 智能音箱 迷你音响 AI家庭助手 自定义唤醒词 海量应用内容 智能家居控制 白色
220,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-14 08:15:11,使用了一个多月，苹果的做工没话说，就是贵了点
221,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-14 07:42:50,还不错 刚开始使用mac系统 还不习惯。
222,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-14 03:13:55,确实管用，有点麻有点热辣辣的感觉但不强烈，感觉像做手术用的局部麻醉技术，喷一下差不多了，太多了持续不射，太累，半个小时以上的觉得不太好太累了！太夸张的女方胃口可能比较大，时间一长媳妇疼，我也心疼，双方合适为好
223,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 21:21:02,高大上，送货速度快挺好用的！
224,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 20:09:14,有一点点瑕疵  而且电池循环有三次 但我没有退货的习惯 勉强还能接受吧
225,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 19:30:22,apple的东西没话说！真的nice！
226,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 18:46:39,用了一个月才来评价的，是正品没错，当时收快递的时候在地上扔着呢......有些无语?。然后还有价格想吐槽一下，刚买第二天又降400，然而想着6.18可能还会降，就没申请价格保护.....结果就这样错过了，呵呵
227,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 18:06:32,一开始电脑有问题 退换了 换了之后还是有很多小问题 中文键入延迟 大小写切换键无法关闭 找个时间去检查一下
228,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 17:49:16,用起来挺不错
229,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 17:32:15,物美价廉的好商品价格优惠质量放心
230,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 17:17:15,还不错，送货速度很快！很赞。
231,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 17:16:15,618活动8868买的，然而我拿来看视频了
232,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 16:16:25,才买几天，官网就出2018教育优惠套装，白白没了2k的耳机，不开心不开心，还不能退货！
233,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 16:04:06,啊啊啊，新版8代处理器的发布了，这个还是7代的，为什么不买8代的呢，因为带bar的太贵了。
234,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 15:13:15,好用
235,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 14:53:49,不错，正版全新
236,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 14:49:07,快递神速，从武汉调货，第二天就到了，包装很赞，正品！
237,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 14:06:20,不错不错，挺好的，物流很快服务好
238,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 13:34:14,本来担心搞不定双系统，没想到十分钟搞定。不足就是只有2个c口，还得买转换器
239,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 12:53:05,不错，买完觉得很喜欢，触控板也很好用！家庭用128g足够了
240,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 12:48:41,还不错哦&hellip;&hellip;有质感......不知道发票怎么开
241,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 11:55:49,果然名不虚传，使用体验没话说。
242,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 11:15:55,整体操作需要一段时间适应，品质没话说
243,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 10:50:01,买电子产品还是最放心京东
244,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 10:25:46,不错
245,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 09:54:19,送人的  没用
246,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 09:50:12,正品 发货速度快点
247,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 09:37:57,好好，好
248,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 09:13:36,挺好挺好挺好
249,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 09:12:31,不错，用起来很舒服，是正品
250,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 08:16:53,物流给力。去专卖店查询，是原装正品，赞一个
251,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 08:09:51,不错
252,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-13 00:28:36,不错～值得信赖～不错～好好好好
253,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 21:49:01,这个电脑呀，真的是不错的，看起来很好看的，外观也很好看，虽然说买了之后一直都在用它看视频，看电影，并没有什么其他的实际用处，不过就是用的很舒心
254,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 21:38:28,秒杀价，很好
255,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 21:21:38,还可以，比之前的Air 发热严重，续航时间较短。整体还可以。
256,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 20:57:06,送客户的，不知道怎么评价，都说苹果好。
257,Apple MacBook Pro 13.3英寸笔记本电脑 银色（2017款Multi-Touch Bar/Core i5/8GB/512GB MPXY2CH/A）,2018-07-12 20:50:58,质感不错，暂时还没看到什么问题
